number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_features,params_min_child_samples,params_min_df,params_n_estimators,params_ngram_range_idx,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sublinear_tf,params_subsample,state
0,0.6946514615860353,0.7972786029425063,0.1344595209765447,3,12035,85,4,625,1,161,1.0594040604735997,0.1359674144693037,True,0.6426837417085369,COMPLETE
1,0.8432166811842038,0.5243138406434829,0.1641114516889029,6,7381,8,5,199,1,21,0.1279754817813792,0.023966915980990006,True,0.7241435531809746,COMPLETE
2,0.7837908129255177,0.9816297807897875,0.21081690931084554,-1,13591,48,3,227,2,16,0.010466228219877464,0.00014045351116279272,False,0.9003831927737211,COMPLETE
3,0.834670351487792,0.5571626258908893,0.07697286569543459,7,12875,6,2,130,1,79,0.0030721497640737176,0.005423725741773345,True,0.9853051000777255,COMPLETE
4,0.8390108978868568,0.985924651603507,0.024174440834868825,0,12685,12,4,829,2,86,0.0004115124849135645,0.0004911850618098886,True,0.51946426697162,COMPLETE
5,0.7807793489214457,0.8885857872279885,0.007993560746913968,12,6611,23,1,222,2,31,0.12852650423305073,0.0010208922351709468,False,0.5401680571118685,PRUNED
6,0.6450608901862701,0.8821682586789099,0.015125996030428067,8,8844,87,1,171,2,28,0.01370295523290427,0.0014104256669498572,False,0.9149464688610001,PRUNED
7,0.6792132114655649,0.6771456248486274,0.040638382490439266,12,4054,73,2,192,0,33,0.91512516245297,7.245531377119871,True,0.7966461401382614,PRUNED
8,0.6462162625636113,0.8248905231802903,0.006755219139540477,-1,12578,41,1,118,0,35,0.1493845333499457,0.08295160116732218,True,0.7816684627889304,PRUNED
9,0.590750919487799,0.9366503525726384,0.05255089503754042,1,4934,17,5,104,0,45,0.12337153139221368,2.326327640668852,False,0.7629583089445524,PRUNED
10,0.8530142385522392,0.5367948034701009,0.2704220054605081,4,19491,5,5,439,1,15,0.00010333066662062006,0.01617544155180252,True,0.6563527626622034,COMPLETE
11,0.8486050392701727,0.5030124931921423,0.28907773023299277,4,19130,7,5,397,1,17,0.00010036100562159901,0.017509643414667715,True,0.6442803603135725,COMPLETE
12,0.8486757779474277,0.6282744156097775,0.2976325247014313,3,16816,5,5,419,1,15,0.00011612627580963458,0.014184857730131062,True,0.6309590492191772,COMPLETE
13,0.8566532286577038,0.635823599229197,0.10714161705266183,3,19254,5,4,410,1,15,0.0009877158595798306,0.29584170965131495,True,0.611965545365201,COMPLETE
14,0.8394726905221714,0.6546256096404893,0.09645158343868698,9,19867,11,4,544,1,213,0.0021634404347392186,0.4520590588780271,True,0.604644923561427,COMPLETE
15,0.8481388210769977,0.5948038542469204,0.09397563739725666,4,9910,9,3,308,1,22,0.0007913594326348223,0.6143465181246042,True,0.7036579878085661,COMPLETE
16,0.8595674840701382,0.7156407510323496,0.14465546182571198,2,16022,5,4,945,1,52,0.0006378121257551308,0.1553988307347097,True,0.5902648539868119,COMPLETE
17,0.8335853155858072,0.7191973605193056,0.057402850306335094,2,16212,18,4,999,1,57,0.0007694305336704954,0.4312353667172199,True,0.5669566900205654,COMPLETE
18,0.7008353451988639,0.7421312667798321,0.14351433812322073,1,5849,25,3,686,1,114,6.66352528658268,0.1312241547156637,False,0.5056283748334017,PRUNED
19,0.7753065245108707,0.6923309186715024,0.02564058849317994,5,3091,13,3,305,0,47,0.003714412171122634,1.98690195822666,True,0.5817117389593973,PRUNED
20,0.8571977001376911,0.7962548793221909,0.11908205759877662,2,10007,5,4,905,1,125,0.00044199893361546416,0.050956928039509346,True,0.6898431957302418,COMPLETE
21,0.8554733429454175,0.7897813700055455,0.11818554172403166,2,10210,5,4,978,1,133,0.0004367293081715686,0.06393991636481815,True,0.6909948039258725,COMPLETE
22,0.8384404333349312,0.7704377557746992,0.07160981309753547,1,16019,7,4,771,1,252,0.0017673624991988875,0.3886206444985795,True,0.5905546323901738,COMPLETE
23,0.8454548666221171,0.6070838830720062,0.17702463491966192,2,14883,10,4,530,1,88,0.000303095175776566,1.399042525857139,True,0.6873268859882887,COMPLETE
24,0.8456823765339051,0.7168696634118237,0.10989736575193322,5,10324,5,2,855,1,68,0.02884448053262214,0.003933811449837472,True,0.8431356429275417,COMPLETE
25,0.8542042882210307,0.8357533709911357,0.19583151919732675,3,8529,7,4,597,1,108,0.006977999332694649,0.050747412610502945,True,0.7338355709458941,COMPLETE
26,0.8547057613485022,0.654809124350248,0.030693835839989907,0,11228,6,3,716,1,172,0.00092067356963052,0.12603365210064546,False,0.5477162145721234,COMPLETE
27,0.8402997107078403,0.7481775322209356,0.06508331341354896,6,14815,15,4,509,1,47,0.00035655257826240036,0.22689198269912766,True,0.6045491931938227,COMPLETE
28,0.8611468410319059,0.5790516477137316,0.04864890335246665,0,16508,9,5,383,2,61,0.001320370666343596,9.916025117288125,True,0.6854707946296352,COMPLETE
29,0.864785550264801,0.5754781507126422,0.04261818157525317,0,11508,9,5,642,2,58,0.00017943473756081702,9.249862340015415,True,0.6744528418689895,COMPLETE
30,0.8245674453621685,0.5749736876842082,0.04083772635741521,0,14427,28,5,349,2,57,0.0001716690335587908,9.025144147255794,True,0.6536723208662778,PRUNED
31,0.8524108859817391,0.8602708916910029,0.015502751207250007,-1,11693,9,5,651,2,39,0.0003043908478763767,3.482476573057402,True,0.6697260973741626,COMPLETE
32,0.7873313774307967,0.5741447562445676,0.047726137901141406,1,8813,8,5,861,2,67,0.001439897457681234,4.617303138278366,True,0.7204112016025715,PRUNED
33,0.8635500344191976,0.7984276738145479,0.016469744888288895,0,7302,6,5,613,2,151,0.005224196485189648,1.1681139413787596,True,0.6801069641293289,COMPLETE
34,0.8594474407906005,0.5206628125166219,0.016265344485334194,0,7559,8,5,600,2,158,0.0050984954649546345,0.8102444160546335,True,0.7425080420431686,COMPLETE
35,0.8654460517271986,0.5446659136154733,0.022571092290756496,-1,5912,6,5,477,2,77,0.01865643531794475,1.171269932228606,True,0.6310129831132415,COMPLETE
