실제품명,대분류,중분류,카테고리태그,식재료명,브랜드
"무료배송 한끼농산 중국산 찰기장, 1개, 5kg 할인35%22,500원 14,500원 (100g당 290원) 2/13(금) 도착 예정 4.5 (393) 최대 725원 적립",,,,,
[집반찬연구소] 메추리알 간장조림,,,,,
[밀카] 알프스 밀크 버라이어티 세트 172g,,,,,
"미트코리아 목전지 돌돌이 대패구이 (냉동), 1kg, 1개 10,900원 (100g당 1,090원) 내일(일) 새벽 도착 보장 4.5 (4402) 최대 545원 적립",,,,,
[뉴트리원] 비비랩 저분자S & 글루타치온W 선물세트 60포,,,,,
[고기반찬] 양념 LA 갈비 800g,,,,,
[CU 픽업] 아비옹 리제르바 44 750ml,,,,,
"순수해작 순수한 구운 김밥김, 23g, 1개 19%3,100원 2,500원 (10g당 1,087원) 내일(일) 도착 보장 5 (1090) 최대 125원 적립",,,,,
[창억] 어린쑥 밥알 팥앙금 인절미 (50g X 10개입),,,,,
"2025년산 햅쌀 곰곰x농협 소중한 우리쌀 새청무 백미, 10kg, 1개 15%40,290원 33,900원 (100g당 339원) 내일(일) 도착 보장 5 (2839) 최대 1,695원 적립",,,,,
[선물세트][농부플러스] 국산저온압착 참기름&생들기름 2구세트(쇼핑백증정),,,,,
"곰곰 국내산 딸기, 500g(중과), 1팩 8,900원 (100g당 1,780원) 내일(일) 새벽 도착 보장 4.5 (38863) 최대 445원 적립",,,,,
"무료배송 백설 카놀라유, 900ml, 2개 할인22%11,000원 8,500원 (100ml당 472원) 2/12(목) 도착 예정 5 (37796) 최대 425원 적립",,,,,
"불닭볶음면 소컵 70g, 12개 2%12,600원 12,300원 (1개당 1,025원) 내일(일) 도착 보장 5 (30859) 최대 615원 적립",,,,,
[삼진어묵] 통통야채 새우봉꼬치어묵,,,,,
[산아래] 눈꽃 무산 김부각 60g,,,,,
[고메] 포테이토치즈 핫도그 400g(100gX4개입),,,,,
[애슐리] 소고기 모둠버섯 샤브샤브,,,,,
"초이스팜 건레몬 슬라이스 특품 프리미엄, 1개, 60g 할인40%9,800원 5,880원 (100g당 9,800원) 내일(일) 도착 보장 4.5 (142) 최대 294원 적립",,,,,
땅콩 한입 꽈배기 520g,,,,,
"하루견과 넛츠 시그니처, 23g, 35봉 20%42,900원 33,900원 (100g당 4,211원) 내일(일) 도착 보장 4.5 (10212) 최대 1,695원 적립",,,,,
[동광젓갈] 비빔날치알,,,,,
"무료배송 해농 맛깔 김가루 200g 가정용 조미김가루, 1개 10%9,200원 8,200원 (10g당 410원) 2/10(화) 도착 예정 4.5 (477) 최대 385원 적립",,,,,
[라빈리커픽업][추천주특가]샤또 라 로제 페리에르 19 (와인),,,,,
