number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_features,params_min_child_samples,params_min_df,params_n_estimators,params_ngram_range_idx,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sublinear_tf,params_subsample,state
20,0.830337375484324,0.9923925190506226,0.21732268907016333,9,5938,16,5,258,1,42,0.0019516025161143554,0.00011524593704665017,False,0.6493626143027856,COMPLETE
21,0.8451624719266407,0.8038293849377671,0.11766978639414796,-1,4637,12,4,176,2,82,0.000586548418841919,0.1877120279864573,True,0.5958788925219093,COMPLETE
22,0.8235636095936953,0.8829013064919552,0.1147343473945736,0,4082,24,4,136,2,65,0.00040193549107962,0.16400020889780834,True,0.5505530734956312,COMPLETE
23,0.8396475079003448,0.8419526598407474,0.06038325417558274,-1,3052,14,5,173,2,112,0.0057096999774794216,1.7868562619523864,True,0.5798405081808485,COMPLETE
24,0.8513048825613924,0.6969701821382657,0.06328318627249292,-1,3034,9,4,268,2,120,0.015117619453030822,1.193513919815181,True,0.5955612606329862,COMPLETE
25,0.7320293240757131,0.6782549537607655,0.049587095877265924,2,4194,9,3,272,2,120,0.03472328831797203,9.686673026130444,True,0.6560861822205941,PRUNED
26,0.7524899401836335,0.706944841444127,0.02500117552808635,1,3528,7,4,394,2,69,0.019576869449531426,0.3105761372064381,True,0.6113388022999284,PRUNED
27,0.8417585510064753,0.6304408315305997,0.20729187637377952,12,5144,5,3,296,2,248,0.11891765277413521,1.5886946095866863,True,0.7160146326291654,COMPLETE
28,0.7921814382083979,0.7526218468210377,0.14883872764614503,3,3878,6,4,218,0,156,0.0031041526737661945,0.07270426036092155,False,0.5241167561183603,PRUNED
29,0.8463718936169291,0.6206454451438791,0.03492371357156144,0,3272,9,3,367,1,97,0.06591895121452425,0.6463930973679307,True,0.7586822612199673,COMPLETE
30,0.8471960986135324,0.616076815554565,0.0123695828271438,0,3193,6,3,389,1,183,0.1080087850805068,0.9912397932651749,True,0.8298020033357755,COMPLETE
31,0.8467657002173162,0.6199009990970387,0.013376433271267692,0,3271,6,3,385,1,197,0.17563723632752343,1.2385987437546726,True,0.8045195807109381,COMPLETE
32,0.6696446620189489,0.5965343480789208,0.012216864168316584,1,3004,6,2,470,1,188,0.20317484084647439,1.2017727308780333,True,0.8370857630644387,PRUNED
33,0.8490601415212355,0.6080614540248933,0.0156034764924813,0,3354,5,3,626,1,138,0.2780307024775905,2.9339566434414506,True,0.8630932486381375,COMPLETE
34,0.7813406910361224,0.572706261722694,0.014024947018413,3,4143,5,2,685,1,135,0.2547057490062614,3.1558729431449706,True,0.8792500080840032,PRUNED
35,0.8501255023869516,0.5289304844283299,0.0058350718476633525,0,3749,7,3,933,1,145,0.01462848858124545,0.4227707313052529,False,0.8635751801282552,COMPLETE
36,0.7698427234404516,0.5359677892659546,0.0062175522312283345,2,3740,7,3,924,1,139,0.01593423516640773,0.4164951066959913,False,0.8741950631401681,PRUNED
37,0.5878167718981443,0.5558123428230364,0.005257089097829345,1,3510,5,3,602,1,102,0.04680760213500939,2.914019935561569,False,0.9326544771013676,PRUNED
38,0.8212805436917734,0.5212732230805356,0.0075128797392407486,7,4324,8,1,922,1,73,1.2068260612137955,0.28870073297427584,False,0.7806352801019654,COMPLETE
39,0.7990488530698987,0.5857003511456272,0.027663889703651637,3,5089,5,2,724,1,48,0.008084700402291296,6.27242951247654,False,0.8580437583722041,PRUNED
