김자반,,,0,NNG,*,T,김자반,*,*,*,*
까망베르,,,0,NNG,*,F,까망베르,*,*,*,*
까망베르치즈,,,0,NNG,*,F,까망베르치즈,*,*,*,*
까베르네,,,0,NNG,*,F,까베르네,*,*,*,*
깍두기,,,0,NNG,*,F,깍두기,*,*,*,*
깜빠뉴,,,0,NNG,*,F,깜빠뉴,*,*,*,*
깻잎,,,0,NNG,*,T,깻잎,*,*,*,*
꼬냑,,,0,NNG,*,T,꼬냑,*,*,*,*
꽁치캔,,,0,NNG,*,T,꽁치캔,*,*,*,*
꽃게,,,0,NNG,*,F,꽃게,*,*,*,*
꿀떡,,,0,NNG,*,T,꿀떡,*,*,*,*
뀌베,,,0,NNG,*,F,뀌베,*,*,*,*
낙지,,,0,NNG,*,F,낙지,*,*,*,*
냉동,,,0,NNG,*,T,냉동,*,*,*,*
냉동감자튀김,,,0,NNG,*,T,냉동감자튀김,*,*,*,*
냉동과일,,,0,NNG,*,T,냉동과일,*,*,*,*
냉동과일믹스,,,0,NNG,*,F,냉동과일믹스,*,*,*,*
냉동돈까스,,,0,NNG,*,F,냉동돈까스,*,*,*,*
냉동딸기,,,0,NNG,*,F,냉동딸기,*,*,*,*
냉동만두,,,0,NNG,*,F,냉동만두,*,*,*,*
냉동망고,,,0,NNG,*,F,냉동망고,*,*,*,*
냉동바나나,,,0,NNG,*,F,냉동바나나,*,*,*,*
냉동볶음밥,,,0,NNG,*,T,냉동볶음밥,*,*,*,*
냉동블루베리,,,0,NNG,*,F,냉동블루베리,*,*,*,*
냉동식품,,,0,NNG,*,T,냉동식품,*,*,*,*
냉동아보카도,,,0,NNG,*,F,냉동아보카도,*,*,*,*
냉동치킨,,,0,NNG,*,T,냉동치킨,*,*,*,*
냉동탕수육,,,0,NNG,*,T,냉동탕수육,*,*,*,*
냉동튀김,,,0,NNG,*,T,냉동튀김,*,*,*,*
냉동피자,,,0,NNG,*,F,냉동피자,*,*,*,*
냉동핫도그,,,0,NNG,*,F,냉동핫도그,*,*,*,*
년산,,,0,NNG,*,T,년산,*,*,*,*
녹차,,,0,NNG,*,F,녹차,*,*,*,*
누룽지,,,0,NNG,*,F,누룽지,*,*,*,*
느타리버섯,,,0,NNG,*,T,느타리버섯,*,*,*,*
니고리,,,0,NNG,*,F,니고리,*,*,*,*
다시다,,,0,NNG,*,F,다시다,*,*,*,*
다시마,,,0,NNG,*,F,다시마,*,*,*,*
다이긴죠,,,0,NNG,*,F,다이긴죠,*,*,*,*
다진,,,0,NNG,*,T,다진,*,*,*,*
다진생강,,,0,NNG,*,T,다진생강,*,*,*,*
다짐육,,,0,NNG,*,T,다짐육,*,*,*,*
다크,,,0,NNG,*,F,다크,*,*,*,*
다크초콜릿,,,0,NNG,*,T,다크초콜릿,*,*,*,*
단무지,,,0,NNG,*,F,단무지,*,*,*,*
단팥빵,,,0,NNG,*,T,단팥빵,*,*,*,*
단호박,,,0,NNG,*,T,단호박,*,*,*,*
닭가슴살,,,0,NNG,*,T,닭가슴살,*,*,*,*
닭고기,,,0,NNG,*,F,닭고기,*,*,*,*
닭날개,,,0,NNG,*,F,닭날개,*,*,*,*
닭다리살,,,0,NNG,*,T,닭다리살,*,*,*,*
닭다짐육,,,0,NNG,*,T,닭다짐육,*,*,*,*
닭안심,,,0,NNG,*,T,닭안심,*,*,*,*
당근,,,0,NNG,*,T,당근,*,*,*,*
당면,,,0,NNG,*,T,당면,*,*,*,*
대추,,,0,NNG,*,F,대추,*,*,*,*
대파,,,0,NNG,*,F,대파,*,*,*,*
더덕,,,0,NNG,*,T,더덕,*,*,*,*
데킬라,,,0,NNG,*,F,데킬라,*,*,*,*
도넛,,,0,NNG,*,T,도넛,*,*,*,*
도멘,,,0,NNG,*,T,도멘,*,*,*,*
도시락,,,0,NNG,*,T,도시락,*,*,*,*
돈까스,,,0,NNG,*,F,돈까스,*,*,*,*
돈까스소스,,,0,NNG,*,F,돈까스소스,*,*,*,*
동치미,,,0,NNG,*,F,동치미,*,*,*,*
돼지,,,0,NNG,*,F,돼지,*,*,*,*
돼지갈비,,,0,NNG,*,F,돼지갈비,*,*,*,*
돼지고기,,,0,NNG,*,F,돼지고기,*,*,*,*
돼지고기묶음,,,0,NNG,*,T,돼지고기묶음,*,*,*,*
돼지등심,,,0,NNG,*,T,돼지등심,*,*,*,*
돼지안심,,,0,NNG,*,T,돼지안심,*,*,*,*
된장,,,0,NNG,*,T,된장,*,*,*,*
두부,,,0,NNG,*,F,두부,*,*,*,*
두유,,,0,NNG,*,F,두유,*,*,*,*
뒷다리살,,,0,NNG,*,T,뒷다리살,*,*,*,*
드립백,,,0,NNG,*,T,드립백,*,*,*,*
들기름,,,0,NNG,*,T,들기름,*,*,*,*
들깨가루,,,0,NNG,*,F,들깨가루,*,*,*,*
등갈비,,,0,NNG,*,F,등갈비,*,*,*,*
등심,,,0,NNG,*,T,등심,*,*,*,*
딸기,,,0,NNG,*,F,딸기,*,*,*,*
딸기잼,,,0,NNG,*,T,딸기잼,*,*,*,*
딸기주스,,,0,NNG,*,F,딸기주스,*,*,*,*
땅콩,,,0,NNG,*,T,땅콩,*,*,*,*
땅콩버터,,,0,NNG,*,F,땅콩버터,*,*,*,*
떡국떡,,,0,NNG,*,T,떡국떡,*,*,*,*
또띠아,,,0,NNG,*,F,또띠아,*,*,*,*
라거,,,0,NNG,*,F,라거,*,*,*,*
라면,,,0,NNG,*,T,라면,*,*,*,*
라면묶음,,,0,NNG,*,T,라면묶음,*,*,*,*
라이위스키,,,0,NNG,*,F,라이위스키,*,*,*,*
락토프리,,,0,NNG,*,F,락토프리,*,*,*,*
락토프리우유,,,0,NNG,*,F,락토프리우유,*,*,*,*
람브루스코,,,0,NNG,*,F,람브루스코,*,*,*,*
레드,,,0,NNG,*,F,레드,*,*,*,*
레드와인,,,0,NNG,*,T,레드와인,*,*,*,*
레드페퍼,,,0,NNG,*,F,레드페퍼,*,*,*,*
레몬,,,0,NNG,*,T,레몬,*,*,*,*
레트로트,,,0,NNG,*,F,레트로트,*,*,*,*
로제,,,0,NNG,*,F,로제,*,*,*,*
롤케이크,,,0,NNG,*,F,롤케이크,*,*,*,*
리저브,,,0,NNG,*,F,리저브,*,*,*,*
리저브와인,,,0,NNG,*,T,리저브와인,*,*,*,*
리제르바,,,0,NNG,*,F,리제르바,*,*,*,*
리즐링,,,0,NNG,*,T,리즐링,*,*,*,*
리코타,,,0,NNG,*,F,리코타,*,*,*,*
리코타치즈,,,0,NNG,*,F,리코타치즈,*,*,*,*
리큐르,,,0,NNG,*,F,리큐르,*,*,*,*
리큐어,,,0,NNG,*,F,리큐어,*,*,*,*
마가린,,,0,NNG,*,T,마가린,*,*,*,*
마늘,,,0,NNG,*,T,마늘,*,*,*,*
마들렌,,,0,NNG,*,T,마들렌,*,*,*,*
마리네이드,,,0,NNG,*,F,마리네이드,*,*,*,*
마스카포네,,,0,NNG,*,F,마스카포네,*,*,*,*
마스카포네치즈,,,0,NNG,*,F,마스카포네치즈,*,*,*,*
마요네즈,,,0,NNG,*,F,마요네즈,*,*,*,*
마카다미아,,,0,NNG,*,F,마카다미아,*,*,*,*
막걸리,,,0,NNG,*,F,막걸리,*,*,*,*
만두,,,0,NNG,*,F,만두,*,*,*,*
말벡,,,0,NNG,*,T,말벡,*,*,*,*
맛살,,,0,NNG,*,T,맛살,*,*,*,*
맛소금,,,0,NNG,*,T,맛소금,*,*,*,*
맛술,,,0,NNG,*,T,맛술,*,*,*,*
망고,,,0,NNG,*,F,망고,*,*,*,*
망고주스,,,0,NNG,*,F,망고주스,*,*,*,*
매생이,,,0,NNG,*,F,매생이,*,*,*,*
맥주,,,0,NNG,*,F,맥주,*,*,*,*
머스타드,,,0,NNG,*,F,머스타드,*,*,*,*
먹태,,,0,NNG,*,F,먹태,*,*,*,*
멍게,,,0,NNG,*,F,멍게,*,*,*,*
메를로,,,0,NNG,*,F,메를로,*,*,*,*
메밀면,,,0,NNG,*,T,메밀면,*,*,*,*
메이플시럽,,,0,NNG,*,T,메이플시럽,*,*,*,*
메추리알,,,0,NNG,*,T,메추리알,*,*,*,*
멜롯,,,0,NNG,*,T,멜롯,*,*,*,*
면류,,,0,NNG,*,F,면류,*,*,*,*
멸치,,,0,NNG,*,F,멸치,*,*,*,*
명란,,,0,NNG,*,T,명란,*,*,*,*
명란젓,,,0,NNG,*,T,명란젓,*,*,*,*
모닝빵,,,0,NNG,*,T,모닝빵,*,*,*,*
모스카토,,,0,NNG,*,F,모스카토,*,*,*,*
모시조개,,,0,NNG,*,F,모시조개,*,*,*,*
모짜렐라,,,0,NNG,*,F,모짜렐라,*,*,*,*
모짜렐라치즈,,,0,NNG,*,F,모짜렐라치즈,*,*,*,*
목살,,,0,NNG,*,T,목살,*,*,*,*
몰트,,,0,NNG,*,F,몰트,*,*,*,*
묶음,,,0,NNG,*,T,묶음,*,*,*,*
물엿,,,0,NNG,*,T,물엿,*,*,*,*
미숫가루,,,0,NNG,*,F,미숫가루,*,*,*,*
미역,,,0,NNG,*,T,미역,*,*,*,*
미원,,,0,NNG,*,T,미원,*,*,*,*
민어,,,0,NNG,*,F,민어,*,*,*,*
밀가루,,,0,NNG,*,F,밀가루,*,*,*,*
밀키트,,,0,NNG,*,F,밀키트,*,*,*,*
바게트,,,0,NNG,*,F,바게트,*,*,*,*
바나나,,,0,NNG,*,F,바나나,*,*,*,*
바이젠,,,0,NNG,*,T,바이젠,*,*,*,*
바지락,,,0,NNG,*,T,바지락,*,*,*,*
바질,,,0,NNG,*,T,바질,*,*,*,*
반건조,,,0,NNG,*,F,반건조,*,*,*,*
반건조민어,,,0,NNG,*,F,반건조민어,*,*,*,*
반숙란,,,0,NNG,*,T,반숙란,*,*,*,*
반찬류,,,0,NNG,*,F,반찬류,*,*,*,*
발사믹,,,0,NNG,*,T,발사믹,*,*,*,*
발사믹식초,,,0,NNG,*,F,발사믹식초,*,*,*,*
발효버터,,,0,NNG,*,F,발효버터,*,*,*,*
방울토마토,,,0,NNG,*,F,방울토마토,*,*,*,*
배럴,,,0,NNG,*,T,배럴,*,*,*,*
배추,,,0,NNG,*,F,배추,*,*,*,*
배추김치,,,0,NNG,*,F,배추김치,*,*,*,*
백김치,,,0,NNG,*,F,백김치,*,*,*,*
백설기,,,0,NNG,*,F,백설기,*,*,*,*
버번,,,0,NNG,*,T,버번,*,*,*,*
버섯,,,0,NNG,*,T,버섯,*,*,*,*
버터,,,0,NNG,*,F,버터,*,*,*,*
번데기,,,0,NNG,*,F,번데기,*,*,*,*
번데기통조림,,,0,NNG,*,T,번데기통조림,*,*,*,*
베이글,,,0,NNG,*,T,베이글,*,*,*,*
베이컨,,,0,NNG,*,T,베이컨,*,*,*,*
베이킹파우더,,,0,NNG,*,F,베이킹파우더,*,*,*,*
보드카,,,0,NNG,*,F,보드카,*,*,*,*
보리쌀,,,0,NNG,*,T,보리쌀,*,*,*,*
보리차,,,0,NNG,*,F,보리차,*,*,*,*
복분자주,,,0,NNG,*,F,복분자주,*,*,*,*
볶음밥,,,0,NNG,*,T,볶음밥,*,*,*,*
본죽,,,0,NNG,*,T,본죽,*,*,*,*
봉골레,,,0,NNG,*,F,봉골레,*,*,*,*
봉지라면,,,0,NNG,*,T,봉지라면,*,*,*,*
부라타,,,0,NNG,*,F,부라타,*,*,*,*
부라타치즈,,,0,NNG,*,F,부라타치즈,*,*,*,*
부채살,,,0,NNG,*,T,부채살,*,*,*,*
부추,,,0,NNG,*,F,부추,*,*,*,*
부침가루,,,0,NNG,*,F,부침가루,*,*,*,*
불고기,,,0,NNG,*,F,불고기,*,*,*,*
브랜디,,,0,NNG,*,F,브랜디,*,*,*,*
브로콜리,,,0,NNG,*,F,브로콜리,*,*,*,*
브뤼,,,0,NNG,*,F,브뤼,*,*,*,*
브륏,,,0,NNG,*,T,브륏,*,*,*,*
브리,,,0,NNG,*,F,브리,*,*,*,*
브리치즈,,,0,NNG,*,F,브리치즈,*,*,*,*
블랑,,,0,NNG,*,T,블랑,*,*,*,*
블렌디드,,,0,NNG,*,F,블렌디드,*,*,*,*
블루,,,0,NNG,*,F,블루,*,*,*,*
블루베리,,,0,NNG,*,F,블루베리,*,*,*,*
블루베리잼,,,0,NNG,*,T,블루베리잼,*,*,*,*
블루치즈,,,0,NNG,*,F,블루치즈,*,*,*,*
비빔라면,,,0,NNG,*,T,비빔라면,*,*,*,*
