number,value,state
0,0.023890303151367455,COMPLETE
1,0.023890303151367455,COMPLETE
2,0.023890303151367455,COMPLETE
3,0.023890303151367455,COMPLETE
4,0.023890303151367455,COMPLETE
5,0.023890303151367455,COMPLETE
6,0.023890303151367455,COMPLETE
7,0.023890303151367455,COMPLETE
8,0.023890303151367455,COMPLETE
9,0.023890303151367455,COMPLETE
10,0.023890303151367455,COMPLETE
11,0.023890303151367455,COMPLETE
12,0.023890303151367455,COMPLETE
13,0.023890303151367455,COMPLETE
14,0.023890303151367455,COMPLETE
15,0.023890303151367455,COMPLETE
16,0.023890303151367455,COMPLETE
17,0.023890303151367455,COMPLETE
18,0.023890303151367455,COMPLETE
19,0.023890303151367455,COMPLETE
20,0.023890303151367455,COMPLETE
21,0.023890303151367455,COMPLETE
22,0.023890303151367455,COMPLETE
23,0.023890303151367455,COMPLETE
24,0.023890303151367455,COMPLETE
25,0.023890303151367455,COMPLETE
26,0.023890303151367455,COMPLETE
27,0.023890303151367455,COMPLETE
28,0.023890303151367455,COMPLETE
29,0.023890303151367455,COMPLETE
30,0.023890303151367455,COMPLETE
31,0.023890303151367455,COMPLETE
32,0.023890303151367455,COMPLETE
33,0.023890303151367455,COMPLETE
34,0.023890303151367455,COMPLETE
35,0.023890303151367455,COMPLETE
36,0.023890303151367455,COMPLETE
37,0.023890303151367455,COMPLETE
38,0.023890303151367455,COMPLETE
39,0.023890303151367455,COMPLETE
40,0.023890303151367455,COMPLETE
41,0.023890303151367455,COMPLETE
42,0.023890303151367455,COMPLETE
43,0.023890303151367455,COMPLETE
44,0.023890303151367455,COMPLETE
45,0.023890303151367455,COMPLETE
46,0.023890303151367455,COMPLETE
47,0.023890303151367455,COMPLETE
48,0.023890303151367455,COMPLETE
49,0.023890303151367455,COMPLETE
50,0.023890303151367455,COMPLETE
51,0.023890303151367455,COMPLETE
52,0.023890303151367455,COMPLETE
53,0.023890303151367455,COMPLETE
54,0.023890303151367455,COMPLETE
55,0.023890303151367455,COMPLETE
56,0.023890303151367455,COMPLETE
57,0.023890303151367455,COMPLETE
58,0.023890303151367455,COMPLETE
59,0.023890303151367455,COMPLETE
60,0.023890303151367455,COMPLETE
61,0.023890303151367455,COMPLETE
62,0.023890303151367455,COMPLETE
63,0.023890303151367455,COMPLETE
64,0.023890303151367455,COMPLETE
65,0.023890303151367455,COMPLETE
66,0.023890303151367455,COMPLETE
67,0.023890303151367455,COMPLETE
68,0.023890303151367455,COMPLETE
69,0.023890303151367455,COMPLETE
70,0.023890303151367455,COMPLETE
71,0.023890303151367455,COMPLETE
72,0.023890303151367455,COMPLETE
73,0.023890303151367455,COMPLETE
74,0.023890303151367455,COMPLETE
75,0.023890303151367455,COMPLETE
76,0.023890303151367455,COMPLETE
77,0.023890303151367455,COMPLETE
78,0.023890303151367455,COMPLETE
79,0.023890303151367455,COMPLETE
